dataset,accuracy,time_s
water_quality,0.907500,2.176
waveform-5000,0.872000,2.121
waveform_database_generator,0.342000,1.510
waveform_database_generator_version_1,0.867000,1.505
website_phishing,0.915129,0.433
wine,0.794521,0.300
wine-quality-red,0.675000,0.388
wine-quality-white,0.679592,1.155
yeast,0.622896,0.472
Average,0.834943,59.408
