dataset,accuracy,time_s
water_quality,0.907500,2.303
waveform-5000,0.868000,2.188
waveform_database_generator,0.350000,10.190
waveform_database_generator_version_1,0.864000,1.604
website_phishing,0.915129,0.538
wine,0.771037,0.382
wine-quality-red,0.671875,0.477
wine-quality-white,0.685714,6.479
yeast,0.609428,2.822
Average,0.835981,65.020
