dataset,accuracy,time_s
water_quality,0.910625,2.186
waveform-5000,0.870000,2.257
waveform_database_generator,0.334000,1.682
waveform_database_generator_version_1,0.869000,1.570
website_phishing,0.926199,0.517
wine,0.788650,0.427
wine-quality-red,0.681250,0.502
wine-quality-white,0.690816,1.190
yeast,0.636364,0.518
Average,0.847549,32.130
