dataset,accuracy,time_s
water_quality,0.907500,2.210
waveform-5000,0.872000,2.168
waveform_database_generator,0.351000,1.542
waveform_database_generator_version_1,0.865000,1.538
website_phishing,0.915129,0.443
wine,0.776908,0.306
wine-quality-red,0.671875,0.394
wine-quality-white,0.687755,1.177
yeast,0.626263,0.470
Average,0.836474,74.006
